ID_MARCA;MARCA;ID_LINHA;LINHA;DATA_VENDA;QTD_VENDA
4;VULT;5;HIDRATANTES;18/12/2019;18
1;BOTICÁRIO;1;CABELOS;14/09/2019;4
5;BELEZA NA WEB;2;PERFUMARIA;31/05/2019;14
3;QUEM DISSE BERENICE;4;SOLAR;23/04/2019;16
3;QUEM DISSE BERENICE;5;HIDRATANTES;22/04/2019;13
4;VULT;2;PERFUMARIA;21/11/2019;3
3;QUEM DISSE BERENICE;3;MAQUIAGEM;05/02/2019;3
5;BELEZA NA WEB;2;PERFUMARIA;18/03/2019;18
1;BOTICÁRIO;4;SOLAR;18/01/2019;15
4;VULT;5;HIDRATANTES;16/07/2019;7
3;QUEM DISSE BERENICE;3;MAQUIAGEM;08/07/2019;10
1;BOTICÁRIO;1;CABELOS;03/06/2019;2
1;BOTICÁRIO;5;HIDRATANTES;19/06/2019;11
2;EUDORA;1;CABELOS;22/06/2019;19
4;VULT;3;MAQUIAGEM;21/02/2019;1
3;QUEM DISSE BERENICE;5;HIDRATANTES;22/09/2019;6
3;QUEM DISSE BERENICE;2;PERFUMARIA;15/11/2019;2
4;VULT;2;PERFUMARIA;06/03/2019;17
3;QUEM DISSE BERENICE;1;CABELOS;01/05/2019;2
5;BELEZA NA WEB;5;HIDRATANTES;23/03/2019;18
5;BELEZA NA WEB;2;PERFUMARIA;24/07/2019;13
2;EUDORA;1;CABELOS;26/05/2019;11
1;BOTICÁRIO;4;SOLAR;16/12/2019;7
1;BOTICÁRIO;1;CABELOS;13/07/2019;16
2;EUDORA;3;MAQUIAGEM;19/10/2019;7
4;VULT;5;HIDRATANTES;12/08/2019;6
3;QUEM DISSE BERENICE;4;SOLAR;11/04/2019;10
4;VULT;5;HIDRATANTES;03/06/2019;2
4;VULT;3;MAQUIAGEM;04/01/2019;12
4;VULT;4;SOLAR;25/10/2019;17
4;VULT;2;PERFUMARIA;23/06/2019;14
1;BOTICÁRIO;4;SOLAR;05/12/2019;20
1;BOTICÁRIO;3;MAQUIAGEM;25/05/2019;9
3;QUEM DISSE BERENICE;1;CABELOS;19/07/2019;11
1;BOTICÁRIO;3;MAQUIAGEM;08/05/2019;19
3;QUEM DISSE BERENICE;4;SOLAR;23/09/2019;14
1;BOTICÁRIO;1;CABELOS;16/04/2019;12
2;EUDORA;1;CABELOS;15/03/2019;14
3;QUEM DISSE BERENICE;5;HIDRATANTES;11/06/2019;4
2;EUDORA;2;PERFUMARIA;07/12/2019;19
4;VULT;5;HIDRATANTES;28/05/2019;8
5;BELEZA NA WEB;5;HIDRATANTES;25/05/2019;14
2;EUDORA;5;HIDRATANTES;06/10/2019;13
5;BELEZA NA WEB;3;MAQUIAGEM;23/10/2019;20
2;EUDORA;3;MAQUIAGEM;16/06/2019;18
5;BELEZA NA WEB;4;SOLAR;19/09/2019;4
2;EUDORA;4;SOLAR;15/01/2019;1
1;BOTICÁRIO;1;CABELOS;26/11/2019;16
2;EUDORA;2;PERFUMARIA;21/08/2019;19
3;QUEM DISSE BERENICE;4;SOLAR;13/10/2019;14
2;EUDORA;2;PERFUMARIA;13/02/2019;16
5;BELEZA NA WEB;2;PERFUMARIA;01/10/2019;5
1;BOTICÁRIO;3;MAQUIAGEM;09/12/2019;3
2;EUDORA;2;PERFUMARIA;25/01/2019;15
2;EUDORA;5;HIDRATANTES;14/07/2019;2
1;BOTICÁRIO;2;PERFUMARIA;02/02/2019;5
5;BELEZA NA WEB;4;SOLAR;30/04/2019;20
4;VULT;5;HIDRATANTES;01/03/2019;1
4;VULT;4;SOLAR;05/11/2019;5
4;VULT;2;PERFUMARIA;25/06/2019;18
4;VULT;4;SOLAR;04/01/2019;9
2;EUDORA;3;MAQUIAGEM;28/12/2019;11
4;VULT;1;CABELOS;02/03/2019;6
1;BOTICÁRIO;5;HIDRATANTES;04/07/2019;15
1;BOTICÁRIO;2;PERFUMARIA;25/02/2019;2
1;BOTICÁRIO;4;SOLAR;31/01/2019;12
1;BOTICÁRIO;4;SOLAR;01/12/2019;17
2;EUDORA;3;MAQUIAGEM;21/01/2019;14
4;VULT;1;CABELOS;04/10/2019;7
3;QUEM DISSE BERENICE;2;PERFUMARIA;24/02/2019;14
1;BOTICÁRIO;2;PERFUMARIA;05/05/2019;3
3;QUEM DISSE BERENICE;4;SOLAR;20/08/2019;9
4;VULT;3;MAQUIAGEM;10/12/2019;6
2;EUDORA;5;HIDRATANTES;11/08/2019;7
2;EUDORA;2;PERFUMARIA;14/11/2019;1
4;VULT;3;MAQUIAGEM;03/01/2019;18
4;VULT;5;HIDRATANTES;02/08/2019;8
3;QUEM DISSE BERENICE;2;PERFUMARIA;08/01/2019;14
1;BOTICÁRIO;4;SOLAR;06/02/2019;6
2;EUDORA;3;MAQUIAGEM;03/11/2019;20
3;QUEM DISSE BERENICE;3;MAQUIAGEM;29/12/2019;10
5;BELEZA NA WEB;4;SOLAR;21/01/2019;6
1;BOTICÁRIO;3;MAQUIAGEM;10/11/2019;13
4;VULT;4;SOLAR;26/10/2019;20
4;VULT;3;MAQUIAGEM;25/02/2019;18
5;BELEZA NA WEB;2;PERFUMARIA;14/11/2019;1
5;BELEZA NA WEB;2;PERFUMARIA;21/11/2019;1
2;EUDORA;1;CABELOS;17/10/2019;15
4;VULT;4;SOLAR;06/07/2019;11
3;QUEM DISSE BERENICE;3;MAQUIAGEM;11/04/2019;3
3;QUEM DISSE BERENICE;3;MAQUIAGEM;30/12/2019;6
3;QUEM DISSE BERENICE;3;MAQUIAGEM;26/02/2019;15
5;BELEZA NA WEB;4;SOLAR;19/08/2019;7
3;QUEM DISSE BERENICE;2;PERFUMARIA;02/07/2019;19
3;QUEM DISSE BERENICE;3;MAQUIAGEM;26/05/2019;8
2;EUDORA;2;PERFUMARIA;15/12/2019;1
4;VULT;5;HIDRATANTES;23/09/2019;15
5;BELEZA NA WEB;2;PERFUMARIA;02/09/2019;17
5;BELEZA NA WEB;4;SOLAR;01/12/2019;12
4;VULT;2;PERFUMARIA;05/08/2019;18
4;VULT;3;MAQUIAGEM;18/12/2019;10
3;QUEM DISSE BERENICE;2;PERFUMARIA;05/10/2019;7
1;BOTICÁRIO;5;HIDRATANTES;06/08/2019;5
2;EUDORA;1;CABELOS;09/03/2019;11
1;BOTICÁRIO;2;PERFUMARIA;07/08/2019;12
4;VULT;4;SOLAR;27/01/2019;18
5;BELEZA NA WEB;4;SOLAR;16/06/2019;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;04/11/2019;17
4;VULT;2;PERFUMARIA;10/12/2019;14
3;QUEM DISSE BERENICE;5;HIDRATANTES;15/03/2019;1
4;VULT;4;SOLAR;02/11/2019;9
1;BOTICÁRIO;2;PERFUMARIA;25/03/2019;13
2;EUDORA;5;HIDRATANTES;04/07/2019;5
2;EUDORA;5;HIDRATANTES;06/01/2019;8
5;BELEZA NA WEB;2;PERFUMARIA;20/01/2019;1
3;QUEM DISSE BERENICE;4;SOLAR;16/09/2019;16
1;BOTICÁRIO;1;CABELOS;28/01/2019;18
3;QUEM DISSE BERENICE;4;SOLAR;21/04/2019;19
4;VULT;3;MAQUIAGEM;01/10/2019;10
4;VULT;1;CABELOS;28/11/2019;14
5;BELEZA NA WEB;2;PERFUMARIA;03/07/2019;10
3;QUEM DISSE BERENICE;3;MAQUIAGEM;26/02/2019;9
2;EUDORA;4;SOLAR;21/01/2019;11
4;VULT;4;SOLAR;09/06/2019;9
5;BELEZA NA WEB;2;PERFUMARIA;20/12/2019;14
4;VULT;4;SOLAR;14/11/2019;5
5;BELEZA NA WEB;3;MAQUIAGEM;02/05/2019;8
4;VULT;3;MAQUIAGEM;09/07/2019;8
5;BELEZA NA WEB;1;CABELOS;16/03/2019;7
4;VULT;2;PERFUMARIA;26/05/2019;14
4;VULT;3;MAQUIAGEM;03/10/2019;20
2;EUDORA;1;CABELOS;12/05/2019;15
1;BOTICÁRIO;2;PERFUMARIA;22/04/2019;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/12/2019;5
5;BELEZA NA WEB;5;HIDRATANTES;08/03/2019;16
5;BELEZA NA WEB;3;MAQUIAGEM;01/01/2019;9
1;BOTICÁRIO;4;SOLAR;25/02/2019;16
3;QUEM DISSE BERENICE;4;SOLAR;22/10/2019;3
1;BOTICÁRIO;5;HIDRATANTES;20/10/2019;15
3;QUEM DISSE BERENICE;4;SOLAR;04/05/2019;4
2;EUDORA;4;SOLAR;11/10/2019;19
5;BELEZA NA WEB;4;SOLAR;25/11/2019;19
1;BOTICÁRIO;2;PERFUMARIA;01/11/2019;6
4;VULT;5;HIDRATANTES;28/10/2019;8
3;QUEM DISSE BERENICE;2;PERFUMARIA;10/01/2019;10
1;BOTICÁRIO;4;SOLAR;19/05/2019;5
4;VULT;3;MAQUIAGEM;24/06/2019;20
4;VULT;5;HIDRATANTES;28/01/2019;5
3;QUEM DISSE BERENICE;4;SOLAR;25/07/2019;11
4;VULT;1;CABELOS;12/10/2019;1
3;QUEM DISSE BERENICE;3;MAQUIAGEM;11/02/2019;19
3;QUEM DISSE BERENICE;4;SOLAR;04/02/2019;6
3;QUEM DISSE BERENICE;3;MAQUIAGEM;16/01/2019;8
2;EUDORA;4;SOLAR;21/05/2019;19
2;EUDORA;1;CABELOS;01/12/2019;18
3;QUEM DISSE BERENICE;2;PERFUMARIA;07/03/2019;14
2;EUDORA;1;CABELOS;10/08/2019;6
5;BELEZA NA WEB;5;HIDRATANTES;10/12/2019;14
4;VULT;3;MAQUIAGEM;14/03/2019;2
3;QUEM DISSE BERENICE;5;HIDRATANTES;07/05/2019;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;26/07/2019;12
3;QUEM DISSE BERENICE;1;CABELOS;26/04/2019;5
4;VULT;5;HIDRATANTES;10/04/2019;8
4;VULT;5;HIDRATANTES;17/10/2019;13
4;VULT;3;MAQUIAGEM;26/11/2019;14
4;VULT;3;MAQUIAGEM;20/06/2019;5
1;BOTICÁRIO;4;SOLAR;22/08/2019;4
5;BELEZA NA WEB;4;SOLAR;30/12/2019;20
4;VULT;4;SOLAR;29/08/2019;6
1;BOTICÁRIO;4;SOLAR;21/10/2019;9
3;QUEM DISSE BERENICE;1;CABELOS;29/03/2019;18
4;VULT;3;MAQUIAGEM;20/10/2019;10
4;VULT;5;HIDRATANTES;28/04/2019;16
3;QUEM DISSE BERENICE;1;CABELOS;27/05/2019;11
3;QUEM DISSE BERENICE;5;HIDRATANTES;06/08/2019;11
5;BELEZA NA WEB;5;HIDRATANTES;11/02/2019;6
5;BELEZA NA WEB;2;PERFUMARIA;12/07/2019;6
1;BOTICÁRIO;3;MAQUIAGEM;26/03/2019;9
4;VULT;1;CABELOS;11/06/2019;2
5;BELEZA NA WEB;4;SOLAR;11/03/2019;12
2;EUDORA;3;MAQUIAGEM;05/11/2019;8
2;EUDORA;5;HIDRATANTES;21/10/2019;9
2;EUDORA;4;SOLAR;13/03/2019;4
5;BELEZA NA WEB;4;SOLAR;16/08/2019;5
2;EUDORA;3;MAQUIAGEM;21/04/2019;17
2;EUDORA;5;HIDRATANTES;19/12/2019;13
3;QUEM DISSE BERENICE;4;SOLAR;12/04/2019;6
1;BOTICÁRIO;4;SOLAR;03/02/2019;5
5;BELEZA NA WEB;3;MAQUIAGEM;09/07/2019;9
3;QUEM DISSE BERENICE;2;PERFUMARIA;12/08/2019;11
2;EUDORA;1;CABELOS;08/06/2019;3
4;VULT;4;SOLAR;13/06/2019;17
4;VULT;5;HIDRATANTES;19/11/2019;4
4;VULT;5;HIDRATANTES;08/08/2019;7
1;BOTICÁRIO;5;HIDRATANTES;27/11/2019;19
2;EUDORA;2;PERFUMARIA;21/09/2019;16
5;BELEZA NA WEB;1;CABELOS;16/01/2019;3
2;EUDORA;5;HIDRATANTES;03/05/2019;15
1;BOTICÁRIO;5;HIDRATANTES;12/12/2019;9
1;BOTICÁRIO;3;MAQUIAGEM;03/10/2019;8
3;QUEM DISSE BERENICE;2;PERFUMARIA;16/03/2019;17
4;VULT;3;MAQUIAGEM;12/03/2019;2
1;BOTICÁRIO;1;CABELOS;01/06/2019;6
4;VULT;4;SOLAR;08/01/2019;15
4;VULT;3;MAQUIAGEM;31/05/2019;9
1;BOTICÁRIO;1;CABELOS;07/03/2019;8
1;BOTICÁRIO;4;SOLAR;04/11/2019;19
5;BELEZA NA WEB;5;HIDRATANTES;17/05/2019;3
2;EUDORA;4;SOLAR;07/03/2019;14
3;QUEM DISSE BERENICE;4;SOLAR;09/12/2019;6
3;QUEM DISSE BERENICE;1;CABELOS;23/04/2019;19
1;BOTICÁRIO;1;CABELOS;07/06/2019;18
5;BELEZA NA WEB;1;CABELOS;08/08/2019;6
3;QUEM DISSE BERENICE;3;MAQUIAGEM;31/10/2019;6
3;QUEM DISSE BERENICE;2;PERFUMARIA;22/06/2019;19
3;QUEM DISSE BERENICE;4;SOLAR;17/03/2019;3
4;VULT;3;MAQUIAGEM;25/08/2019;5
3;QUEM DISSE BERENICE;2;PERFUMARIA;03/07/2019;6
5;BELEZA NA WEB;1;CABELOS;06/01/2019;18
5;BELEZA NA WEB;3;MAQUIAGEM;10/08/2019;16
2;EUDORA;4;SOLAR;14/05/2019;3
2;EUDORA;1;CABELOS;26/12/2019;2
4;VULT;5;HIDRATANTES;08/08/2019;11
3;QUEM DISSE BERENICE;4;SOLAR;16/07/2019;10
5;BELEZA NA WEB;3;MAQUIAGEM;08/10/2019;7
2;EUDORA;4;SOLAR;21/05/2019;5
5;BELEZA NA WEB;1;CABELOS;29/01/2019;6
5;BELEZA NA WEB;4;SOLAR;19/03/2019;10
2;EUDORA;2;PERFUMARIA;05/11/2019;2
3;QUEM DISSE BERENICE;3;MAQUIAGEM;29/05/2019;8
3;QUEM DISSE BERENICE;2;PERFUMARIA;02/04/2019;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;31/01/2019;16
5;BELEZA NA WEB;2;PERFUMARIA;09/11/2019;4
3;QUEM DISSE BERENICE;3;MAQUIAGEM;17/10/2019;10
